03-1004;Hilto;"26-2566-PN16 2""";"Flens draadflens rvs 2"" 316";29.50;;;;;;;;;;;
03-3001;Hilto;25-2605-088,9x2,0 3S 90GR;Lasbocht rvs 316L;23.25;;;;;;;;;;;
03-3002;Hilto;27-2615-088,9X2,0;"T-stuk rvs 3"" 316L";;;;;;;;;;;;
03-3003;DJPS;;Pijp rvs Ø 21,9x2,8;48.00;;;;;;;;;;;
03-3004;DJPS;;Pijp rvs Ø 33,7x3,6;14.80;;;;;;;;;;;
03-3005;DJPS;;Pijp rvs Ø 610x9,5                    rvs?;169.44;;;;;;;;;;;
03-3006;DJPS;;Pijp rvs Ø 89x3 316L;32.17;;;;;;;;;;;
03-3007;Zwets;25.KS.OP.001;Ontluchtingspijp rvs Ø 100 mm;46.00;;;;;;;;;;;
03-3008;Zwets;25.KS.OP.002;Ontluchtingspijp rvs Ø 125 mm;71.00;;;;;;;;;;;
03-3009;Zwets;25.KS.OP.004;Ontluchtingskap rvs voor ontluchtingspijp 100/125/168 mm;44.00;;;;;;;;;;;
03-3010;Hilto;"03-16R-1/4"" ";"Lassok rvs 1/4"" ";1.69;;;;;;;;;;;
03-3011;Hilto;"03-290R-1/2"" ";"Plug rvs 1/2""";2.08;;;;;;;;;;;
03-4001;ODS;911000634;Plaat rvs 2000x1000x2 mm folie;121.54;;;;;;;4;alumininium;;;
03-4002;ODS;911000888;Plaat rvs 2500x1250x3 mm folie;211.66;;;;;;;;;;;
03-4003;ODS;911000888;Plaat rvs 2500x1250x3 mm ;198.00;;;;;;;;;;;
03-4004;ODS;911000851;Plaat rvs 3000x1500x3 mm;359.64;;;;;;;;;;;
03-5001;ODS;911201215;Buis rvs vierkant 60x60x2 mm geborsteld;66.90;;;lgt;;;;;;;;
03-5002;ODS;911100807;Platstaf rvs 316L 60x8 mm geslit;63.84;;;lgt;;;;;;;;
03-5003;ODS;911100803;Platstaf rvs 316L 50x8 mm geslit;51.24;;;lgt;;;;;;;;
03-5004;ODS;911101257;Rondstaal rvs 10 mm;3.56;;;meterprijs, lgt. = ca. 3 mtr.;;;;;;;;
03-5005;ODS;940109452;Buis rvs vierkant 30x30x2 mm geborsteld;43.50;;;lgt;;;;;;;;
03-5006;ODS;940109479;Buis rvs 14x1,5 mm ongegloeid;27.54;;;lgt;;;;;;;;
03-5007;ODS;911101484;Rondstaal rvs 15 mm;6.54;;;meterprijs, lgt. = ca. 3 mtr.;;;;;;;;
03-5008;ODS;911200760;Buis rvs 40x2 mm tig gelast blank;67.50;;;lgt;;;;;;;;
03-6001;Hilto;41-2801-060 RVS304;"Beugel rvs 2""half";2.95;;;;;;;;;;;
03-6002;Hilto;41-2801-089 RVS304;"Beugel rvs 3""half";4.06;;;;;;;;;;;
03-6003;Hilto;"03-240R-3/4""X3/8""";"Verloopsok rvs 316 3/4x3/8"" ";4.06;;;;;;;;;;;
03-6004;Zwets;26.RV.092;"Verloopsok rvs .3/4""-.1/2"" nr. 240";2.40;;;;;;;;;;;
03-6005;JB;68-BCLR-5-38;Beugel rvs 38 mm compleet licht;8.59;;;;;;;;;;;
03-8001;Hilto;"03-023R-2""X100";"Pijpnippel rvs 2""";16.64;;;;;;;;;;;
03-8002;DJPS;;"Pijpnippel rvs 1"" L=100";4.60;;;;;;;;;;;
03-8003;Zwets;21.KK.0006;"Kogelkraan rvs 1/2"" 2-delig bi/bi lock";22.35;;;;;;;;;;;
03-8004;Zwets;26.RV.339;"Pijpnippel rvs 2""x100 mm";10.75;;;;;;;;;;;
03-8005;DJPS;;"Knie rvs 1"" nr. 90";3.90;;;;;;;;;;;
03-8006;DJPS;;"Knie rvs 1"" nr. 90";3.90;;;;;;;;;;;
03-8007;DJPS;;"Knie rvs 1"" nr. 92";4.50;;;;;;;;;;;
03-8008;DJPS;;"Knie rvs 1.1/4"" nr. 92";6.10;;;;;;;;;;;
03-8009;DJPS;;"Knie rvs 1/2"" nr. 90";2.00;;;;;;;;;;;
03-8010;DJPS;;"Knie rvs 1/2"" nr. 92";2.50;;;;;;;;;;;
03-8011;DJPS;;"Koppeling rvs 1"" nr. 340";7.70;;;;;;;;;;;
